 482  1.428172e+000
 1.5363080745675817e-009  1.0000000000000000e-002  8.8412819574603143e+034  7.2946929931640625e+014 -4.0319958480503504e-001  4.0651361993220325e-001  3.0608186410669126e-002  1.7670559515773208e-002
 1.9471784639327505e-009  1.0822040745094807e-002  8.8412799285361544e+034  7.2946887254333875e+014 -4.0319955753552983e-001  4.0651358920725977e-001  3.0608181814465511e-002  1.7670555669054643e-002
 2.4753466709592987e-009  1.1723373594182535e-002  8.8412775197817410e+034  7.2946879855045562e+014 -4.0319952516095953e-001  4.0651355273036438e-001  3.0608176357816944e-002  1.7670551102200671e-002
 3.1467789872997280e-009  1.2699774947889634e-002  8.8412746930861912e+034  7.2946871171911162e+014 -4.0319948716909670e-001  4.0651350992438334e-001  3.0608169954389221e-002  1.7670545742955297e-002
 4.0003351555792319e-009  1.3757496807091278e-002  8.8412713759335150e+034  7.2946860982173125e+014 -4.0319944258529739e-001  4.0651345969116892e-001  3.0608162439908847e-002  1.7670539453832557e-002
 5.0854153322411128e-009  1.4903311819811131e-002  8.8412674832260762e+034  7.2946849024424800e+014 -4.0319939026581275e-001  4.0651340074204184e-001  3.0608153621600531e-002  1.7670532073492385e-002
 6.4648190387784717e-009  1.6144556627124985e-002  8.8412629151016178e+034  7.2946834991904837e+014 -4.0319932886845034e-001  4.0651333156473296e-001  3.0608143273242051e-002  1.7670523412601880e-002
 8.2183795385689088e-009  1.7489178814533435e-002  8.8412575543716899e+034  7.2946818524628050e+014 -4.0319925681814506e-001  4.0651325038459074e-001  3.0608131129361289e-002  1.7670513248978701e-002
 1.0447583942115467e-008  1.8945787767822044e-002  8.8412512635157434e+034  7.2946799200151787e+014 -4.0319917226655799e-001  4.0651315511906050e-001  3.0608116878426930e-002  1.7670501321892042e-002
 1.3281446372841422e-008  2.0523709756987110e-002  8.8412438811539762e+034  7.2946776522740587e+014 -4.0319907304466707e-001  4.0651304332426902e-001  3.0608100154858136e-002  1.7670487325375319e-002
